date,title,description
23.06.2025,Энергетический рынок в зоне стратегического давления,Обзор от аналитиков BCC Invest
23.06.2025,Неделя начинается с падения рынков Азии и роста цен на нефть,Помимо геополитической ситуации инвесторы будут пристально следить за выступлением главы Федрезерва в сенате
23.06.2025,"Polpharma Group инвестирует $62,6 млн в расширение завода в Шымкенте  ",На эти средства построят новые производственные здания и лабораторные площади
23.06.2025,В Минпроме затягивали согласование проекта по производству вооружения  ,Директора профильного департамента привлекли к дисциплинарной ответственности
20.06.2025,С начала июня акции КазМунайГаза прибавили в цене 15%,"В четверг бумаги компании выросли на 2,4% на фоне увеличения стоимости нефти"
19.06.2025,"Федрезерв сохранил ставку, несмотря на позицию президента США",Монетарный регулятор может снизить процентную ставку в сентябре и декабре
19.06.2025,Как крупные инвесторы спасают биткоин в разгар конфликтов,"На криптовалютном рынке наблюдалась умеренная волатильность, но значительного обвала не произошло"
19.06.2025,Дональд Трамп вновь продлит срок для заключения сделки по TikTok,Администрация президента США за три месяца планирует выработать соглашение для защиты данных пользователей соцсети
18.06.2025,AFSA выдал первую лицензию на выпуск стейблкоинов,Эмитентом цифрового актива стала компания AnchorX.KZ Limited
18.06.2025,Индекс KASE обновляет исторический рекорд третью сессию подряд ,Приток ликвидности на рынок может стимулироваться реинвестированием полученных крупных дивидендов
18.06.2025, ИИ-стартап Илона Маска xAI ведет переговоры о продаже акций - СМИ,"На фондовой бирже планируется привлечь 4,3 млрд долларов"
18.06.2025,Облачное подразделение Amazon продолжит инвестировать миллиарды долларов в Азию ,Об этом заявил вице-президент AWS по Азиатско-Тихоокеанскому региону и Японии Хайме Вальес
17.06.2025,Малайзийский холдинг планирует запустить производство электромобилей e.MAS в Казахстане ,По итогам переговоров в Минпромышленности решено создать совместную рабочую группу
17.06.2025,Какие акции готовы к росту после лидерства «великолепной семерки»,"Биотехнологические компании продолжают развиваться, оставаясь потенциально привлекательным направлением для долгосрочных инвестиций"
17.06.2025,"Нефть подешевела на 3,2% после заявления Ирана",Это усилило ожидания возможного перемирия и ослабило опасения по поводу перебоев в поставках нефти из региона
17.06.2025,В строительство завода по производству стали в Жамбылской области вложат $756 млн ,Инвестором выступает китайская компания Fujian Hengwang Investment Co.
16.06.2025,Геополитические риски вновь давят на рынки,Обзор от аналитиков BCC Invest
16.06.2025,"Объем обязательств к выплате по внешнему долгу в третьем квартале составит $11,6 млрд  ","Во втором квартале показатель составил 10,6 млрд долларов"
14.06.2025,"Meta инвестирует $14,3 млрд в ИИ-стартап Scale AI",Это вторая по величине сделка в истории компании после покупки WhatsApp в 2014 году
13.06.2025,Федрезерв может дважды снизить базовую ставку до конца года ,Охлаждение рынка труда и замедление инфляции поддержали такие ожидания
12.06.2025,"Объем сделок с индексными акциями KASE в мае составил 18,4 млрд тенге","Это на 914,2 млн тенге меньше показателя апреля"
12.06.2025,Отток прямых инвестиций из Казахстана резко замедлился,Изменились и приоритеты казахстанских инвесторов в разрезе стран
12.06.2025,В Казахстане узаконили деятельность эндаумент-фондов,"В числе приоритетных сфер финансирования будут образование, наука, инновации, спорт, медицинские услуги, лекарственное обеспечение и соцзащита"
12.06.2025,Roca Group построит в Казахстане завод по производству сантехники,"Объем инвестиций в создание предприятия, которое будет расположено в Кызылординской области, оценивается в 70 млн евро"
12.06.2025,"Brent подорожала на 4,3% на фоне геополитической напряженности","Министр обороны Ирана заявил, что в случае конфликта с США Тегеран нанесет удар по всем американским базам на Ближнем Востоке"
12.06.2025,Биткоин уводят в холодное хранение: инвесторы готовятся к ралли,На фоне роста интереса к BTC стейблкоины становятся объектом внимания техгигантов
11.06.2025,Инвестиции для трех поколений: история Тулегена Амирова,Казахстанец начал инвестировать в 75 лет и передал капитал детям
11.06.2025,По какой цене Алтыналмас приобрела Майкаинзолото? ,"Активы золотодобывающей компании оценивались в 24,5 млрд тенге"
11.06.2025,В 2025 году рост мирового спроса на нефть замедлится – прогноз EIA,"В Управлении энергетической информации США считают, что потребление в этом году вырастет лишь на 800 тысяч баррелей в сутки"
10.06.2025,В Алматы открыли завод по производству медицинских изделий,"Общий объем инвестиций в проект составил 2,1 млрд тенге"
10.06.2025,Биржевые индексы демонстрируют смешанную динамику,Это происходит на фоне переговоров между США и Китаем
10.06.2025,Управление пенсионными активами в руках профессионалов рынка,Инвестиционная компания BCC Invest является одним из ведущих доверительных управляющих пенсионными накоплениями ЕНПФ
10.06.2025,Почему коливинг может стать выгодным форматом для инвесторов,"В условиях урбанизации, дефицита жилья и роста ИТ-сектора коливинги могут стать частью стратегического девелопмента"
09.06.2025,Две недели роста: технологический сектор лидирует,Обзор от аналитиков BCC Invest
09.06.2025,Предельная ставка по ипотеке в Казахстане снижена до 20%,Ранее ГЭСВ по таким займам была на уровне 25%
09.06.2025,Иностранный капитал практически полностью вышел из нот Нацбанка,Объем вложений нерезидентов в ГЦБ РК по итогам мая снизился на 65 млрд тенге
06.06.2025,Dr. Martens снизил выручку на 10% в 2025 фингоду,"В компании заявили, что будут реализовывать новую стратегию для привлечения покупателей"
05.06.2025,Мурат Абдрахманов раскрыл сумму инвестиций за 10 лет,"Казахстанский бизнес-ангел рассказал, в какие стартапы он поверил"
05.06.2025,В фокусе внимания дня – решение по базовой ставке,"По результатам июньского опроса АФК, 79% экспертов ожидают сохранения базовой ставки"
05.06.2025,"Инвесторы обратили внимание на эфир, но биткоин еще удивит",Что произошло на рынке криптовалют за последние семь дней?
04.06.2025,На какие компании стоит обратить внимание инвесторам летом?,На рынки все сильнее влияют глобальные макроэкономические тренды и решения центральных банков
04.06.2025,ИИ-стартап RE:CREATE AI привлек $150 тысяч инвестиций,"Привлеченные средства пойдут на расширение команды разработки, запуск мобильного приложения и улучшение AI-моделей"
04.06.2025,Дивидендный сезон 2024 года завершился утверждением выплат КМГ,Семь из 10 входящих в индекс KASE компаний объявили об их выплате
04.06.2025,В Казахстане не реализован потенциал коллективных вложений для розничных инвесторов ,"На начало этого года объем активов под управлением фондов составил 1,6 млрд долларов"
04.06.2025,В Туркестанской области могут построить завод по производству вертолетов и беспилотников,Иностранный инвестор планирует вложить около 290 млн долларов
03.06.2025,Новый законопроект об инвестфондах утвердят в мажилисе до конца 2025 года ,"Предполагается, что инвестфонды альтернативного инвестирования смогут самостоятельно управлять своими активами"
03.06.2025,Для управляющих пенсионными активами введут новый бенчмарк,Его планируют утвердить до конца июля 2025 года
03.06.2025,Замедление ИПЦ повышает вероятность сохранения базовой ставки ,"Помимо решения по процентной ставке, Нацбанк представит обновленные макропрогнозы"
03.06.2025,АРРФР официально одобрило заявку Вячеслава Кима на покупку Jusan Bank ,На 1 мая 2025 года активы банка составляют 3 195 млрд тенге
02.06.2025,В фокусе внимания дня – публикация данных об инфляции ,Данные по ИПЦ могут сыграть определяющее влияние на предстоящее решение НБРК по базовой ставке
30.05.2025,"Air Astana направит на дивиденды и спецдивиденды 19,1 млрд тенге ","Они утверждены в размере 53,7 тенге за бумагу"
30.05.2025,Цена нефти Brent вновь опустилась до $63 за баррель,"Давление на котировки оказывают ожидания увеличения добычи со стороны ОПЕК+, неопределенность относительно тарифной политики США"
29.05.2025,"AIX, Intebix и Solana Foundation создадут механизм двойного листинга",Компании смогут размещать акции на Astana International Exchange и токены на блокчейне Solana при поддержке Intebix и Jupiter
29.05.2025,Алексей Ли: Тимур Турлов инвестирует в доставку товаров дронами  ,"Для осуществления проекта создана лаборатория Freedom X, проводятся ежедневные испытания беспилотников в степи"
29.05.2025,Почему Казхром намерен уйти с KASE,Одна из причин - у компании нет планов по публичному размещению акций
29.05.2025,"Торговый суд США отменил глобальные тарифы, введенные Дональдом Трампом","Предприятия и штаты подали иски, заявив, что у президента не было полномочий для введения этих пошлин"
29.05.2025,Корпорации и государства угрожают биткоину?,"К концу 2026 года крупные игроки будут владеть примерно 4,2 млн BTC"
28.05.2025,Итальянская TRAMITE GROUP создает инвестфонд с Казахстаном,Проект на базе МФЦА привлечет 500 млн евро инвестиций и может достичь годового оборота в 1 млрд евро
28.05.2025,Jusan Bank не будет выплачивать дивиденды акционерам за 2024 год ,Банк уже третий год придерживается этой стратегии
28.05.2025,Ликвидность возвращается в систему после фискального оттока ,Открытая позиция по операциям НБРК выросла до 7 трлн тенге
27.05.2025,"Казатомпром выплатит дивиденды на сумму 327,9 млрд тенге ",Это 75% от свободного денежного потока компании
27.05.2025,"Отбасы банк направит на дивиденды 84,5 млрд тенге",Сумму выплатят двумя траншами
27.05.2025,Как Forte помогает развиваться продавцам маркетплейсов,Банк предлагает предпринимателям онлайн-кредит на сумму до 100 млн тенге
27.05.2025,ОПЕК+ может продолжить наращивать добычу третий месяц подряд ,О решении могут сообщить до конца мая
26.05.2025,"Золото и биткоин укрепились, доллар ослаб",Обзор от аналитиков BCC Invest
26.05.2025,На KASE приостановили торги привилегированными акциями Казахтелекома,"Цена на бумаги телеком-оператора снизилась на 52,71%"
26.05.2025,Казхром может провести делистинг акций с KASE,Эту инициативу обсудят с акционерами 23 июня
26.05.2025,"Индекс доллара опустился до 99,1 пункта – минимального значения за месяц ",Инвесторы переключились на «валюты-убежища» на фоне угроз новых тарифов со стороны США
23.05.2025,В Казахтелекоме объяснили резкое снижение цены на свои бумаги,"Телеком-оператор считает, что 31,51%-ное падение котировок связано с технической реакцией рынка"
23.05.2025,LVMH вышла из пятерки крупнейших по капитализации компаний Европы ,Это произошло после резкого снижения стоимости ее акций в текущем году
23.05.2025,Асель Тасмагамбетова и Кенес Ракишев разместили облигации своей школы на KASE,Деньги направят на проекты в области устойчивого развития и поддержку одаренных учеников
23.05.2025,За 2024 год КазТрансОйл выплатит дивиденды на 33 млрд тенге,Размер дивиденда на одну простую акцию составит 86 тенге
23.05.2025,Аналитики ожидают резкого увеличения квот на добычу ОПЕК+,"Это может усилить переизбыток предложения на рынке, который и без того ожидает профицит"
23.05.2025,Доступная генерация: как IT-разработчики могут сэкономить? ,"В AVM.AI рассказали, чем интересна технология по объединению разрозненных видеокарт и как проект вышел на дата-центры Малайзии, ОАЭ, Германии, США"
22.05.2025,Lenovo в IV финквартале сократила чистую прибыль на 64%,Показатель оказался хуже ожиданий рынка
22.05.2025,На KASE приостановили торги простыми акциями Казахтелекома,"Это связано со снижением стоимости бумаг на 31,51%"
22.05.2025,"Доходность 10-летних казначейских облигаций США приблизилась к 4,6% ",Это максимальный уровень с февраля текущего года
22.05.2025,Пора избавиться от сатоши? Создатель Twitter поддержал «реформу биткоина»,На рынке возобновились дискуссии о наименовании минимальной расчетной единицы BTC
21.05.2025,На каком этапе переговоры Финам с казахстанским брокером? ,В российской финансовой группе прокомментировали возможную сделку
21.05.2025,Рынок готовится к налоговым выплатам,Основные обменные операции для уплаты майских налогов могут пройти в следующие три торговые сессии
20.05.2025,Представители области Абай подписали 15 меморандумов с китайскими инвесторами,"В регионе есть возможности для развития металлургии, легкой и пищевой промышленности, машиностроения, сказал аким Берик Уали"
20.05.2025,Шестой день роста на Wall Street – повод для оптимизма или начало коррекции?,"Глава JPMorgan предупреждает, что рынок недооценивает влияние пошлин, и предрекает снижение прибылей и коррекцию на рынке"
20.05.2025,Почему меняется цена акций?,"Предсказать движение котировок трудно, но знать причины биржевой динамики необходимо"
20.05.2025,"Облигации – не просто инструмент, а маркер доверия",Реакция рынка на размещение ценных бумаг демонстрирует истинное отношение к деятельности компании и ее надежности как эмитента
19.05.2025,Владельцем Astel стала компания Тимура Турлова,"Во Freedom Telecom объяснили, почему было принято решение о покупке"
19.05.2025,Какие депозиты не попадают под защиту КФГД?,Об этих финансовых продуктах и банковских услугах рассказали специалисты фонда
19.05.2025,"Jusan Bank продал свою долю в Казахтелекоме за 42,7 млрд тенге ",В отчетности банка обозначена схема расчетов по сделке
19.05.2025,Moody’s понижает рейтинг США,Обзор от аналитиков BCC Invest
19.05.2025,Президент США сегодня позвонит главам России и Украины,Итоги переговоров могут оказать соответствующее влияние на рыночный сентимент
16.05.2025,Инвестор из ОАЭ прокомментировал свои планы по развитию аэропорта Астаны ,В целом будет вложено 153 млрд тенге прямых инвестиций Terminals Holding
15.05.2025,"Казахтелеком выплатит дивиденд в размере 26,7 тыс. на одну акцию","Это исторический рекорд по акциям Казахтелекома, отметили в QAMS"
15.05.2025,Доля товарной биржи Каспий в IT-лаборатории снизилась до 60%,"Президент торговой площадки Мурат Кадисов рассказал, кто стал ее соучредителями"
15.05.2025,Швейцарский инвестор откроет в Мангистау ферму по выращиванию осетровых ,"Общая стоимость проекта оценивается в 5,6 млрд тенге"
14.05.2025,Итальянские инвесторы построят завод кормовых дрожжей в СКО,В проект будет вложено 3 млрд тенге
13.05.2025,"В развитие аэропорта Астаны инвестируют 1,1 млрд долларов ",Соглашение об этом заключили с компанией из ОАЭ
13.05.2025, LuLu заинтересована в реализации совместных проектов с казахстанскими производителями,С эмиратской компанией обсуждаются перспективы экспорта из РК сельскохозяйственной продукции
12.05.2025,Kaspi.kz инвестирует $300 млн в разработку финтех-продуктов в Турции,Сделка по покупке турецкого Rabobank A.Ş. пока не закрыта
12.05.2025,"За год объем депозитов казахстанцев в Home Credit Bank вырос на 35,8%","Какие условия предлагает банк вкладчикам и как можно заработать 18,5% годовых"
12.05.2025,Спрос на депозитном аукционе Нацбанка вырос вдвое,"Показатель составил 2,6 трлн тенге, что практически в два раза выше предыдущего размещения"
10.05.2025,ConocoPhillips увеличила чистую прибыль на 12%,Добычу - на 26%
08.05.2025,Центробанк США занял выжидательную позицию,"По словам главы ФРС, текущие риски для экономического роста пока не реализовались, что позволяет регулятору проявлять терпение в своей политике"
08.05.2025,Создание стратегического резерва биткоинов в США – на паузе,Первая криптовалюта приблизилась к зоне ралли
08.05.2025,DHL покупает логистическую компанию IDS Fulfillment,Сумма сделки не раскрывается
06.05.2025,Холдинг «Байтерек» разместил дебютный выпуск еврооблигаций,"Срок обращения ценных бумаг – три года, купонная ставка зафиксирована на уровне 5,45%"
06.05.2025,Qazaq Air переименуют в Vietjet Qazaqstan  ,"Отлагательные условия сделки по продаже казахстанской авиакомпании исполнены, акции переданы на лицевые счета инвестора"
06.05.2025,Sovico рассматривает возможность покупки аэропорта в Казахстане,"Авиакомпании нужен базовый аэропорт, считает Серик Жумангарин"
06.05.2025,Акции Казахтелекома взлетели на 15% на новостях о дивидендах,"Дивиденд на одну простую акцию может составить 19,9 тысячи тенге, дивидендная доходность – 48%"
05.05.2025,КазМунайГаз намерен направить на дивиденды 300 млрд тенге,"Размер дивиденда планируется установить на уровне 491,71 тенге"
05.05.2025,Уоррен Баффет покинет пост CEO Berkshire Hathaway в конце года,Компания сократила операционную прибыль в первом квартале на 14%
05.05.2025,Сырьевые рынки оказались под сильным давлением,Обзор от аналитиков BCC Invest
05.05.2025,Цена нефти опустилась ниже $60 за баррель впервые за четыре года,Падение происходит на фоне решения ОПЕК+ об ускоренном наращивании добычи
05.05.2025,Как правильно понимать рынок акций и поведение его участников,Основная игра на американском фондовом рынке принадлежит институциональным инвесторам
02.05.2025,Транстелеком стал обладать еще одним активом - TTС RailTech,Сделка произошла 28 апреля 2025 года
02.05.2025,"Счет текущих операций сложился с дефицитом в $3,7 млрд в 2024 году",Выравнивание показателя произошло на фоне снижения инвестиционных выплат нерезидентам и улучшения баланса услуг
02.05.2025,Prada в первом квартале увеличила выручку на 13%,"Показатель составил 1,341 млрд евро"
01.05.2025,Пять меморандумов на $1 млрд подписали с китайскими компаниями,"В Актюбинской области построят две ветроэлектростанции, два завода и начнут разработку месторождения Бенкала"
01.05.2025,Случится ли в мире «гипербиткоинизация»?,Гонка за накопление BTC становится все более конкурентной
01.05.2025,"Mercedes-Benz сократила чистую прибыль в 1,7 раза",Показатель оказался хуже прогнозов рынка
30.04.2025,Казахстан вводит «золотую визу» для инвесторов,Документ позволит получить вид на жительство в нашей стране сроком до 10 лет
30.04.2025,Корпорации США пересматривают прогнозы на фоне торговых споров ,"General Motors отозвала финансовые ориентиры, JetBlue снизила прогноз, UPS анонсировала сокращение 20 тысяч рабочих мест"
30.04.2025,Гибкие условия для бизнеса: как заработать на депозитах Forte? ,"Банк предлагает различные вклады, которые помогут предпринимателям не только зарабатывать, но и более гибко управлять своим капиталом"
29.04.2025,Цены на нефть продолжают падать на фоне торговой войны,Китай усиливает противодействие тарифной политике администрации президента США
28.04.2025,Кто из управляющих активами ЕНПФ показал самую высокую доходность? ,"В фонде рассказали, куда инвестированы пенсионные накопления казахстанцев"
28.04.2025,Смягчение торговой риторики США: рынки находят опору,Обзор от аналитиков BCC Invest
28.04.2025,"KEGOC направит на дивиденды 44,98 млрд тенге",Выплаты начнутся 4 июня 2025 года
28.04.2025,Акции крупных технологичных компаний США на подъеме ,Американские индексы растут благодаря сильным квартальным отчетам
28.04.2025,Из каких стран в Казахстан приходят инвестиции ,Обзор представил аналитик Freedom Finance Global Ансар Абуев
28.04.2025,Квартальная выручка Intel в сегменте ЦОД превысила $4 млрд,Корпорация опубликовала финансовые показатели за первый квартал
25.04.2025,Инвестиции AstraZeneca в Казахстане до 2030 года составят $40 млн ,Канада выражает заинтересованность в партнерстве в области трансформации системы здравоохранения
25.04.2025,Фондовые рынки растут на ожиданиях деэскалации торговых войн ,Китай может отменить пошлины в 125% на некоторые товары из США
24.04.2025,Отбасы банк привлек на KASE 50 млрд тенге,"В банке уточнили, при размещении последующих пакетов облигаций инвесторами смогут стать физлица"
24.04.2025,Инвесторы переоценивают риторику администрации Дональда Трампа,Американские фондовые индексы продолжили ралли второй день подряд
24.04.2025,Cможет ли биткоин стать по-настоящему защитным активом?,Что произошло на рынке криптовалют за последние семь дней
24.04.2025,Tesla сократила чистую прибыль в три раза,Поставки электромобилей компании в первом квартале снизились на 13%
23.04.2025,"Казатомпром планирует направить на дивиденды 327,9 млрд тенге",Размер дивиденда на одну простую акцию за 2024 год составит 1 264  тенге
23.04.2025,США могут столкнуться с рецессией во второй половине 2025 года,"Министр финансов Соединенных Штатов заявил, что торговый конфликт с Китаем, вероятнее всего, будет деэскалирован"
23.04.2025,QIC и сингапурская FCAP создают фонд прямых инвестиций ,"Планируется, что фонд будет действовать до 2035 года, в него вложат 200 млн долларов"
22.04.2025,Китайский инвестор может построить в Жетысу завод по переработке свекловичного жома,В проект планируется вложить порядка 10 млн долларов
22.04.2025,Sell American: инвесторы выходят из долларовых активов ,"На рынках наблюдалось нехарактерное синхронное падение американских фондовых индексов, индекса доллара и гособлигаций"
22.04.2025,Citi повысил прогноз цены золота до $3500 за унцию,"Ранее аналитики компании ожидали, что стоимость драгметалла составит 3200 долларов за унцию"
21.04.2025,Новые ограничения на экспорт полупроводников в Китай ударили по NVIDIA и AMD,Обзор от аналитиков BCC Invest
21.04.2025,Цена золота обновила рекорд и достигла $3385 за унцию,С начала текущего года драгметалл прибавил в цене более 26%
21.04.2025,В первом квартале объем размещения корпоративных облигаций упал на 61% ,На рынке ГЦБ объем привлечения снизился на 24%
21.04.2025,В фокусе внимания рынков - отчеты компаний из «Великолепной семерки»,Также инвесторы сосредоточены на выступлениях представителей ФРС
18.04.2025,Держателям ГДР Globaltrans предложили продать свои бумаги,"Один из акционеров грузоперевозчика Aqniet Holding Group Ltd намерен выкупить 8,9 млн глобальных депозитарных расписок на 1,8 млрд рублей"
18.04.2025,Как приватизация и дивиденды решат проблемы бюджета Казахстана,Взгляд Teniz Capital Investment Banking
18.04.2025,Эра «сырьевых» инвестиций уходит?,Приток иностранных вложений в Казахстан уменьшился почти на 29%
18.04.2025,"КазТрансОйл намерен направить на дивиденды 33,08 млрд тенге",Размер дивиденда на одну простую акцию может составить 86 тенге
18.04.2025,"Выплаты по внешнему долгу РК в текущем квартале составят $10,6 млрд","Суммарные обязательства по выплате внешнего долга по итогам 2025 года оцениваются в 45,0 млрд долларов"
17.04.2025,Объем вложений нерезидентов в ноты упал в пять раз на прошлой неделе ,Это стало одним из дополнительных факторов давления на курс тенге
17.04.2025,Новый исторический максимум биткоина и противостояние США и Китая,Смена политического ветра дала экспертам повод поразмыслить над перспективами криптоиндустрии
17.04.2025,"Глава JPMorgan продал акции банка на $31,5 млн","На данный момент Джейми Даймон продолжает владеть 1,32 млн акций напрямую"
16.04.2025,Нацбанк планирует инвестировать часть пенсионных активов в новые инструменты,"Директор департамента монетарных операций НБРК пояснил, что доходность бумаг будет привязана к уровню инфляции"
16.04.2025,QIC инвестирует в фонд Sturgeon Emerging Opportunities $3 млн,"Средства направят в IT-проекты на ранних стадиях развития в Казахстане, странах Центральной Азии, Азербайджане, Грузии, Пакистане и Бангладеш"
16.04.2025,Ликвидность вновь перетекает в защитные активы ,Все ключевые безрисковые инструменты продемонстрировали рост
15.04.2025,"В 2024 году ЕАБР инвестировал в экономику Казахстана $1,4 млрд","На рассмотрении банка находятся проекты на сумму свыше 4,5 млрд долларов"
15.04.2025,Американский фондовый рынок растет два дня подряд ,Дональд Трамп рассматривает возможность приостановки части пошлин для поддержки автопроизводителей
15.04.2025,В 2024 году вкладчики Forte заработали порядка 70 млрд тенге,Какие условия по депозитам предлагает банк и чем они интересны
14.04.2025,Банкам разрешат инвестировать в непрофильные активы?,В АРРФР рассказали о трех вариантах взаимодействия банков и небанковских компаний
14.04.2025,"Сырьевые рынки: золото на рекорде, нефть восстанавливается",Обзор от аналитиков BCC Invest
14.04.2025,Катарская PIH Communication внесла первый транш за Altel/Tele2,Сумма транша составила 700 млн долларов
14.04.2025,Индекс доллара под давлением из-за снижающегося доверия инвесторов ,"За год показатель опустился ниже своего годового минимума в 100,4 пункта"
14.04.2025,КФУ погасил 5-летние облигации на 50 млрд тенге ,"Фонд довел общую сумму погашенных облигаций до 1,5 трлн тенге"
14.04.2025,Как в Казахстане развивается рынок управления фондами,"Общий объем активов под управлением регулируемых фондов в РК составил 1,6 млрд долларов"
11.04.2025,В фокусе внимания рынка – решение Нацбанка по базовой ставке,Мнения опрошенных экспертов об исходе предстоящего заседания разделились
11.04.2025,"Prada купит Versace за $1,4 млрд",Сделку планируют закрыть во второй половине 2025 года
10.04.2025,Рынки в ожидании реакции Пекина на очередное повышение тарифов ,Ранее Дональд Трамп повысил тарифы на товары из КНР до 125%
10.04.2025,Тарифы «администрации хаоса» Дональда Трампа обвалили крипторынок,Мнения экспертов о будущем биткоина разделились
09.04.2025,"Buyback: Банк ЦентрКредит выкупит акции на 34,9 млрд тенге ",Процесс стартует 15 апреля
09.04.2025,Инвесторы активно «ловят падающие ножи»,Нисходящий тренд на рынках сохраняет силу на фоне эскалации торговой войны между США и Китаем
09.04.2025,Первые шаги к покупке акций перспективных компаний США,"Пора узнать о конкретных действиях, которые следует совершить для того, чтобы начать торговать акциями"
08.04.2025,Сделка по продаже Qazaq Air близится к завершению,"Самрук-Қазына выполнил все отлагательные условия, предусмотренные транзакционными документами"
08.04.2025,Саудовская Аравия снизила цены на нефть для азиатских покупателей,"Этот шаг усилил турбулентность на рынке, вызванную эскалацией торгового конфликта между США и Китаем"
07.04.2025,Банк ЦентрКредит не будет выплачивать дивиденды за 2024 год ,В банке пояснили свое решение
07.04.2025,США и Китай вступили в новый виток торговой конфронтации,Обзор от аналитиков BCC Invest
07.04.2025,В Казахстане запустили гарантийные фонды для МСБ и инвестпроектов,Гарантийный фонд для МСБ обеспечит доступ к кредитам до 7 млрд тенге
07.04.2025,Падение биржевых индексов продолжается,"Ключевые азиатские фондовые индексы теряют в моменте 4-11%, американские – 3-5%"
